-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub         0.10%       2.422ms         0.15%       3.788ms      64.203us      69.663us         0.00%      69.663us       1.181us           0 B           0 B      29.50 KB      29.50 KB            59            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.663us         0.00%      69.663us       1.181us           0 B           0 B           0 B           0 B            59            --  
                                              aten::add         0.14%       3.363ms         0.21%       5.160ms      37.125us      69.378us         0.00%      69.378us       0.499us         496 B         248 B      30.95 MB      30.95 MB           139  14950524.000  
                             _expand_idx_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      66.687us         0.00%      66.687us       1.130us           0 B           0 B           0 B           0 B            59            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.760us         0.00%      61.760us       0.996us           0 B           0 B           0 B           0 B            62            --  
                                        cudaGraphLaunch         4.71%     115.895ms         5.10%     125.457ms       1.037ms      34.432us         0.00%      34.432us       0.285us           0 B           0 B           0 B           0 B           121            --  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      31.107us         0.00%      31.107us       0.502us           0 B           0 B           0 B           0 B            62            --  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.922us         0.00%      25.922us       8.641us           0 B           0 B           0 B           0 B             3            --  
                                    cudaStreamWaitEvent         0.01%     277.533us         0.01%     277.533us       4.476us      23.137us         0.00%      23.137us       0.373us           0 B           0 B           0 B           0 B            62            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.462s
Self CUDA time total: 2.523s

