-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     236.358us         0.01%     236.358us       3.693us           0 B           0 B           0 B           0 B            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     219.522us         0.01%     219.522us       3.430us           0 B           0 B           0 B           0 B            64  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     206.949us         0.01%     206.949us       3.234us           0 B           0 B           0 B           0 B            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     205.217us         0.01%     205.217us       2.850us           0 B           0 B           0 B           0 B            72  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     200.357us         0.01%     200.357us       3.131us           0 B           0 B           0 B           0 B            64  
                                            aten::fill_         0.21%       5.650ms         0.44%      11.613ms      36.177us     182.370us         0.01%     182.370us       0.568us           0 B           0 B           0 B           0 B           321  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     178.047us         0.01%     178.047us       2.782us           0 B           0 B           0 B           0 B            64  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     174.564us         0.01%     174.564us       2.728us           0 B           0 B           0 B           0 B            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.174us         0.01%     162.174us       2.534us           0 B           0 B           0 B           0 B            64  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     159.807us         0.01%     159.807us       2.537us           0 B           0 B           0 B           0 B            63  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     146.815us         0.01%     146.815us       2.294us           0 B           0 B           0 B           0 B            64  
                                   _C::rotary_embedding         0.02%     614.417us         0.04%     983.142us      27.310us     122.277us         0.01%     122.277us       3.397us           0 B           0 B           0 B           0 B            36  
                                           aten::gather         0.13%       3.533ms         0.19%       5.062ms      77.882us     120.826us         0.01%     120.826us       1.859us           0 B           0 B      32.00 KB      32.00 KB            65  
